sentence,encoded sentence,label
he 's been training for a marathon for a year and finally completed it.,63 72 5336 54186865 494 1 71415696 494 1 6314 163 4861996 397093533 85 9,year
i 'm planning my trip next year .,8 77 09166865 76 5480 6325 6314 9,year
she 's starting college this year .,263 72 25145865 3999353 5682 6314 9,year
they 're celebrating their anniversary this year .,5636 743 33935415865 56384 16684342146 5682 6314 9,year
we 're expecting a lot of changes this year .,23 743 320335865 1 995 94 3616532 5682 6314 9,year
he 's been working on this project all year .,63 72 5336 2948865 96 5682 0497335 199 6314 9,year
i 'm looking forward to the new year .,8 77 9998865 4942143 59 563 632 6314 9,year
she 's been studying abroad for a year .,263 72 5336 25736865 154913 494 1 6314 9,year
they 're hosting a party later this year .,5636 743 6925865 1 01456 91534 5682 6314 9,year
we 're hoping for a successful year ahead .,23 743 690865 494 1 2733322479 6314 16313 9,year
he 's been practicing guitar for a year now .,63 72 5336 0413583865 578514 494 1 6314 692 9,year
i 'm shopping for groceries near the supermarket .,8 77 26900865 494 549334832 6314 563 27034714835 9,near
let's grab a cup of coffee near the corner cafe .,93572 5415 1 370 94 394433 6314 563 394634 3143 9,near
there is a playground near the residential neighborhood .,56343 82 1 0916549763 6314 563 43283365819 638565946993 9,near
i 'm attending a meeting near the office building .,8 77 155363865 1 7335865 6314 563 944833 57893865 9,near
the library is near the university campus .,563 9854146 82 6314 563 7684342856 317072 9,near
i 'm walking my dog near the park .,8 77 2198865 76 395 6314 563 0148 9,near
there is a pharmacy near the hospital.,56343 82 1 06147136 6314 563 69208519 9,near
i 'm going for a run near the jogging trail.,8 77 59865 494 1 476 6314 563 7955865 54189 9,near
the restaurant is near the movie theater .,563 4325174165 82 6314 563 79483 5631534 9,near
i 'm meeting my friend near the train station.,8 77 7335865 76 448363 6314 563 54186 2515896 9,near
i 'm exploring the trails near the forest .,8 77 320994865 563 541892 6314 563 494325 9,near
let's have a picnic near the riverbank .,93572 6143 1 083683 6314 563 484345168 9,near
there is a bookstore near the cafe .,56343 82 1 599825943 6314 563 3143 9,near
i 'm enjoying the sunset near the beach .,8 77 36796865 563 276235 6314 563 53136 9,near
the gym is near my apartment complex .,563 567 82 6314 76 101457365 3970932 9,near
i 'm going for a swim near the pool .,8 77 59865 494 1 2287 6314 563 0999 9,near
there is a farmer's market near the city center .,56343 82 1 41473472 714835 6314 563 3856 336534 9,near
i 'm meeting my friends near the ice cream shop .,8 77 7335865 76 4483632 6314 563 833 34317 2690 9,near
let's go for a bike ride near the cycling trail .,93572 59 494 1 5883 4833 6314 563 3639865 54189 9,near
the concert venue is near the downtown square .,563 3963345 43673 82 6314 563 39265926 217143 9,near
i 'm staying at a hotel near the convention center .,8 77 2516865 15 1 69539 6314 563 3964365896 336534 9,near
let's grab a bite to eat near the theater .,93572 5415 1 5853 59 315 6314 563 5631534 9,near
there is a park near the neighborhood where I live .,56343 82 1 0148 6314 563 638565946993 26343 8 9843 9,near
i 'm going for a jog near the lake .,8 77 59865 494 1 795 6314 563 9183 9,near
the bus stop is near the train station .,563 572 2590 82 6314 563 54186 2515896 9,near
let's meet up near the fountain in the park .,93572 7335 70 6314 563 49765186 86 563 0148 9,near
i 'm attending a conference near the downtown area .,8 77 155363865 1 3964343633 6314 563 39265926 1431 9,near
there is a bakery near my workplace .,56343 82 1 518346 6314 76 294809133 9,near
i 'm taking my dog for a walk near the dog park .,8 77 518865 76 395 494 1 2198 6314 563 395 0148 9,near
the museum is near the historical landmark .,563 772377 82 6314 563 6825948319 91637148 9,near
the train station is near my office .,563 54186 2515896 82 6314 76 944833 9,near
let's have lunch near the river .,93572 6143 97636 6314 563 48434 9,near
i 'm going to a concert near the stadium .,8 77 59865 59 1 3963345 6314 563 2513877 9,near
there is a playground near the residential area .,56343 82 1 0916549763 6314 563 43283365819 1431 9,near
the pharmacy is near the hospital .,563 06147136 82 6314 563 69208519 9,near
i 'm meeting my friend near the coffee shop .,8 77 7335865 76 448363 6314 563 394433 2690 9,near
let's go hiking near the mountains .,93572 59 688865 6314 563 797651862 9,near
there is a grocery store near my apartment .,56343 82 1 5493346 25943 6314 76 101457365 9,near
i 'm studying at a library near the university .,8 77 25736865 15 1 9854146 6314 563 7684342856 9,near
the movie theater is near the shopping center .,563 79483 5631534 82 6314 563 26900865 336534 9,near
i 'm going for a walk near the park .,8 77 59865 494 1 2198 6314 563 0148 9,near
there is a shop near the station .,56343 82 1 2690 6314 563 2515896 9,near
the cat is sleeping near the fireplace .,563 315 82 29330865 6314 563 484309133 9,near
i 'm looking for a book near the library .,8 77 9998865 494 1 5998 6314 563 9854146 9,near
let's meet near the cafe .,93572 7335 6314 563 3143 9,near
the bus stop is near the supermarket .,563 572 2590 82 6314 563 27034714835 9,near
i 'm taking a vacation near the beach .,8 77 518865 1 41315896 6314 563 53136 9,near
there is a park near the school .,56343 82 1 0148 6314 563 236999 9,near
the hotel is near the airport .,563 69539 82 6314 563 1840945 9,near
i 'm going shopping near the mall .,8 77 59865 26900865 6314 563 7199 9,near
